SHARE_CODE,ISSUER_NAME
AADI,ADARO ANDALAN INDONESIA Tbk
AALI,ASTRA AGRO LESTARI Tbk
ABBA,MAHAKA MEDIA Tbk
ABDA,ASURANSI BINA DANA ARTA Tbk
ABMM,ABM INVESTAMA Tbk
ACES,ASPIRASI HIDUP INDONESIA Tbk
ACRO,SAMCRO HYOSUNG ADILESTARI Tbk
ACST,ACSET INDONUSA Tbk
ADCP,ADHI COMMUTER PROPERTI Tbk
ADES,AKASHA WIRA INTERNATIONAL Tbk
ADHI,ADHI KARYA (PERSERO) Tbk
ADMF,ADIRA DINAMIKA MULTI FINANCE Tbk
ADMG,POLYCHEM INDONESIA Tbk
ADMR,ALAMTRI MINERALS INDONESIA Tbk
ADRO,ALAMTRI RESOURCES INDONESIA Tbk
AEGS,ANUGERAH SPAREPARTS SEJAHTERA Tbk
AGAR,ASIA SEJAHTERA MINA Tbk
AGII,SAMATOR INDO GAS Tbk
AGRO,BANK RAYA INDONESIA Tbk
AGRS,BANK IBK INDONESIA Tbk
AHAP,ASURANSI HARTA AMAN PRATAMA Tbk
AIMS,ARTHA MAHIYA INVESTAMA Tbk
AISA,FKS FOOD SEJAHTERA Tbk
AKKU,ANUGERAH KAGUM KARYA UTAMA Tbk
AKPI,ARGHA KARYA PRIMA INDUSTRY Tbk
AKRA,AKR CORPORINDO Tbk
AKSI,MINERAL SUMBERDAYA MANDIRI Tbk
ALDO,ALKINDO NARATAMA Tbk
ALII,ANCARA LOGISTICS INDONESIA Tbk
ALKA,ALAKASA INDUSTRINDO Tbk
ALMI,ALUMINDO LIGHT METAL INDUSTRY Tbk
ALTO,TRI BANYAN TIRTA Tbk
AMAG,ASURANSI MULTI ARTHA GUNA Tbk
AMAN,MAKMUR BERKAH AMANDA Tbk
AMAR,BANK AMAR INDONESIA Tbk
AMFG,ASAHIMAS FLAT GLASS Tbk
AMIN,ATELIERS MECANIQUES D`INDONESIE Tbk
AMMN,AMMAN MINERAL INTERNASIONAL Tbk
AMMS,AGUNG MENJANGAN MAS Tbk
AMOR,ASHMORE ASSET MANAGEMENT INDONESIA Tbk
AMRT,SUMBER ALFARIA TRIJAYA Tbk
ANDI,ANDIRA AGRO Tbk
ANJT,AUSTINDO NUSANTARA JAYA Tbk
ANTM,ANEKA TAMBANG Tbk
APEX,APEXINDO PRATAMA DUTA Tbk
APIC,PACIFIC STRATEGIC FINANCIAL Tbk
APII,ARITA PRIMA INDONESIA Tbk
APLI,ASIAPLAST INDUSTRIES Tbk
APLN,AGUNG PODOMORO LAND Tbk
ARCI,ARCHI INDONESIA Tbk
AREA,DUNIA VIRTUAL ONLINE Tbk
ARGO,ARGO PANTES Tbk
ARII,ATLAS RESOURCES Tbk
ARKA,ARKHA JAYANTI PERSADA Tbk
ARKO,ARKORA HYDRO Tbk
ARMY,ARMIDIAN KARYATAMA Tbk
ARNA,ARWANA CITRAMULIA Tbk
ARTA,ARTHAVEST Tbk
ARTI,RATU PRABU ENERGI Tbk
ARTO,BANK JAGO Tbk
ASBI,ASURANSI BINTANG Tbk
ASDM,ASURANSI DAYIN MITRA Tbk
ASGR,ASTRA GRAPHIA Tbk
ASHA,CILACAP SAMUDERA FISHING INDUSTRY Tbk
ASII,ASTRA INTERNATIONAL Tbk
ASJT,ASURANSI JASA TANIA Tbk
ASLC,AUTOPEDIA SUKSES LESTARI Tbk
ASLI,ASRI KARYA LESTARI Tbk
ASMI,ASURANSI MAXIMUS GRAHA PERSADA Tbk
ASPI,ANDALAN SAKTI PRIMAINDO Tbk
ASPR,ASIA PRAMULIA Tbk
ASRI,ALAM SUTERA REALTY Tbk
ASRM,ASURANSI RAMAYANA Tbk
ASSA,ADI SARANA ARMADA Tbk
ATAP,TRIMITRA PRAWARA GOLDLAND Tbk
ATIC,ANABATIC TECHNOLOGIES Tbk
ATLA,ATLANTIS SUBSEA INDONESIA Tbk
AUTO,ASTRA OTOPARTS Tbk
AVIA,AVIA AVIAN Tbk
AWAN,ERA DIGITAL MEDIA Tbk
AXIO,TERA DATA INDONUSA Tbk
AYAM,JANU PUTRA SEJAHTERA Tbk
AYLS,AGRO YASA LESTARI Tbk
BABP,BANK MNC INTERNASIONAL Tbk
BABY,MULTITREND INDO Tbk
BACA,BANK CAPITAL INDONESIA Tbk
BAIK,BERSAMA MENCAPAI PUNCAK Tbk
BAJA,SARANACENTRAL BAJATAMA Tbk
BALI,BALI TOWERINDO SENTRA Tbk
BANK,BANK ALADIN SYARIAH Tbk
BAPA,BEKASI ASRI PEMULA Tbk
BAPI,BHAKTI AGUNG PROPERTINDO Tbk
BATA,SEPATU BATA Tbk
BATR,BENTENG API TECHNIC Tbk
BAUT,MITRA ANGKASA SEJAHTERA Tbk
BAYU,BAYU BUANA Tbk
BBCA,BANK CENTRAL ASIA Tbk
BBHI,ALLO BANK INDONESIA Tbk
BBKP,BANK KB INDONESIA Tbk
BBLD,BUANA FINANCE Tbk
BBMD,BANK MESTIKA DHARMA Tbk
BBNI,BANK NEGARA INDONESIA Tbk
BBRI,BANK RAKYAT INDONESIA (PERSERO) Tbk
BBRM,PELAYARAN NASIONAL BINA BUANA RAYA Tbk
BBSI,KROM BANK INDONESIA Tbk
BBSS,BUMI BENOWO SUKSES SEJAHTERA Tbk
BBTN,BANK TABUNGAN NEGARA (PERSERO) Tbk
BBYB,BANK NEO COMMERCE Tbk
BCAP,MNC KAPITAL INDONESIA Tbk
BCIC,BANK JTRUST INDONESIA Tbk
BCIP,BUMI CITRA PERMAI Tbk
BDKR,BERDIKARI PONDASI PERKASA Tbk
BDMN,BANK DANAMON INDONESIA Tbk
BEBS,BERKAH BETON SADAYA Tbk
BEEF,ESTIKA TATA TIARA Tbk
BEER,JOBUBU JARUM MINAHASA Tbk
BEKS,BANK PEMBANGUNAN DAERAH BANTEN Tbk
BELI,GLOBAL DIGITAL NIAGA Tbk
BELL,TRISULA TEXTILE INDUSTRIES Tbk
BESS,BATULICIN NUSANTARA MARITIM Tbk
BEST,BEKASI FAJAR INDUSTRIAL ESTATE Tbk
BFIN,BFI FINANCE INDONESIA Tbk
BGTG,BANK GANESHA Tbk
BHAT,BHAKTI MULTI ARTHA Tbk
BHIT,MNC ASIA HOLDING Tbk
BIKA,BINAKARYA JAYA ABADI Tbk
BIKE,SEPEDA BERSAMA INDONESIA Tbk
BIMA,PRIMARINDO ASIA INFRASTRUCTURE Tbk
BINA,BANK INA PERDANA Tbk
BINO,PERMA PLASINDO Tbk
BIPI,ASTRINDO NUSANTARA INFRASTRUKTUR Tbk
BIPP,BHUWANATALA INDAH PERMAI Tbk
BIRD,BLUE BIRD Tbk
BISI,BISI INTERNATIONAL Tbk
BJBR,BANK JABAR BANTEN Tbk
BJTM,BANK PEMBANGUNAN DAERAH JAWA TIMUR Tbk
BKDP,BUKIT DARMO PROPERTY Tbk
BKSL,SENTUL CITY Tbk
BKSW,BANK QNB INDONESIA Tbk
BLES,SUPERIOR PRIMA SUKSES Tbk
BLOG,TRIMITRA TRANS PERSADA Tbk
BLTA,BERLIAN LAJU TANKER Tbk
BLTZ,GRAHA LAYAR PRIMA Tbk
BLUE,BERKAH PRIMA PERKASA Tbk
BMAS,BANK MASPION INDONESIA Tbk
BMBL,LAVENDER BINA CENDIKIA Tbk
BMHS,BUNDAMEDIK Tbk
BMRI,BANK MANDIRI ( PERSERO ) Tbk
BMSR,BINTANG MITRA SEMESTARAYA Tbk
BMTR,GLOBAL MEDIACOM Tbk
BNBA,BANK BUMI ARTA Tbk
BNBR,BAKRIE AND BROTHERS Tbk
BNGA,BANK CIMB NIAGA Tbk
BNII,BANK MAYBANK INDONESIA Tbk
BNLI,BANK PERMATA Tbk
BOAT,NEWPORT MARINE SERVICES Tbk
BOBA,FORMOSA INGREDIENT FACTORY Tbk
BOGA,APOLLO GLOBAL INTERACTIVE Tbk
BOLA,BALI BINTANG SEJAHTERA Tbk
BOLT,GARUDA METALINDO Tbk
BOSS,BORNEO OLAH SARANA SUKSES Tbk
BPFI,WOORI FINANCE INDONESIA Tbk
BPII,BATAVIA PROSPERINDO INTERNASIONAL Tbk
BPTR,BATAVIA PROSPERINDO TRANS Tbk
BRAM,INDO KORDSA Tbk
BREN,BARITO RENEWABLES ENERGY Tbk
BRIS,BANK SYARIAH INDONESIA Tbk
BRMS,BUMI RESOURCES MINERALS Tbk
BRNA,BERLINA Tbk
BRPT,BARITO PACIFIC Tbk
BRRC,RAJA ROTI CEMERLANG Tbk
BSBK,WULANDARI BANGUN LAKSANA Tbk
BSDE,BUMI SERPONG DAMAI Tbk
BSIM,BANK SINAR MAS Tbk
BSML,BINTANG SAMUDERA MANDIRI LINES Tbk
BSSR,BARAMULTI SUKSESSARANA Tbk
BSWD,BANK OF INDIA INDONESIA Tbk
BTEK,BUMI TEKNOKULTURA UNGGUL Tbk
BTEL,BAKRIE TELECOM Tbk
BTON,BETONJAYA MANUNGGAL Tbk
BTPN,BANK SMBC INDONESIA Tbk
BTPS,BANK BTPN SYARIAH Tbk
BUAH,SEGAR KUMALA INDONESIA Tbk
BUDI,BUDI STARCH & SWEETENER Tbk
BUKA,BUKALAPAK.COM Tbk
BUKK,BUKAKA TEKNIK UTAMA Tbk
BULL,BUANA LINTAS LAUTAN Tbk
BUMI,BUMI RESOURCES Tbk
BUVA,BUKIT ULUWATU VILLA Tbk
BVIC,BANK VICTORIA INTERNATIONAL Tbk
BWPT,"EAGLE HIGH PLANTATIONS, Tbk"
BYAN,BAYAN RESOURCES Tbk
CAKK,CAHAYAPUTRA ASA KERAMIK Tbk
CAMP,CAMPINA ICE CREAM INDUSTRY Tbk
CANI,CAPITOL NUSANTARA INDONESIA Tbk
CARE,METRO HEALTHCARE INDONESIA Tbk
CARS,INDUSTRI DAN PERDAGANGAN BINTRACO DHARMA Tbk
CASA,CAPITAL FINANCIAL INDONESIA Tbk
CASH,CASHLEZ WORLDWIDE INDONESIA Tbk
CASS,CAHAYA AERO SERVICES Tbk
CBDK,BANGUN KOSAMBI SUKSES Tbk
CBMF,CAHAYA BINTANG MEDAN Tbk
CBPE,CITRA BUANA PRASIDA Tbk
CBRE,CAKRA BUANA RESOURCES ENERGI Tbk
CBUT,CITRA BORNEO UTAMA Tbk
CCSI,COMMUNICATION CABLE SYSTEMS INDONESIA Tbk
CDIA,CHANDRA DAYA INVESTASI Tbk
CEKA,WILMAR CAHAYA INDONESIA Tbk
CENT,CENTRATAMA TELEKOMUNIKASI INDONESIA Tbk
CFIN,CLIPAN FINANCE INDONESIA Tbk
CGAS,CITRA NUSANTARA GEMILANG Tbk
CHEK,DIASTIKA BIOTEKINDO Tbk
CHEM,CHEMSTAR INDONESIA Tbk
CHIP,PELITA TEKNOLOGI GLOBAL Tbk
CINT,CHITOSE INTERNASIONAL Tbk
CITA,CITA MINERAL INVESTINDO Tbk
CITY,NATURA CITY DEVELOPMENTS Tbk
CLAY,CITRA PUTRA REALTY Tbk
CLEO,SARIGUNA PRIMATIRTA Tbk
CLPI,COLORPAK INDONESIA Tbk
CMNP,CITRA MARGA NUSAPHALA PERSADA Tbk
CMNT,CEMINDO GEMILANG Tbk
CMPP,AIRASIA INDONESIA Tbk
CMRY,CISARUA MOUNTAIN DAIRY Tbk
CNKO,EXPLOITASI ENERGI INDONESIA Tbk
CNMA,NUSANTARA SEJAHTERA RAYA Tbk
CNTX,CENTEX Tbk SERI A PREFEREN
COAL,BLACK DIAMOND RESOURCES Tbk
COCO,WAHANA INTERFOOD NUSANTARA Tbk
COIN,INDOKRIPTO KOIN SEMESTA Tbk
COWL,COWELL DEVELOPMENT Tbk
CPIN,CHAROEN POKPHAND INDONESIA Tbk
CPRI,CAPRI NUSA SATU PROPERTI Tbk
CPRO,CENTRAL PROTEINAPRIMA Tbk
CRAB,TOBA SURIMI INDUSTRIES Tbk
CRSN,CARSURIN Tbk
CSAP,CATUR SENTOSA ADIPRANA Tbk
CSIS,CAHAYASAKTI INVESTINDO SUKSES Tbk
CSMI,CIPTA SELERA MURNI Tbk
CSRA,CISADANE SAWIT RAYA Tbk
CTBN,CITRA TUBINDO Tbk
CTRA,CIPUTRA DEVELOPMENT Tbk
CTTH,CITATAH Tbk
CUAN,PETRINDO JAYA KREASI Tbk
CYBR,ITSEC ASIA Tbk
DAAZ,DAAZ BARA LESTARI Tbk
DADA,DIAMOND CITRA PROPERTINDO Tbk
DART,DUTA ANGGADA REALTY Tbk
DATA,REMALA ABADI Tbk
DAYA,DUTA INTIDAYA Tbk
DCII,DCI INDONESIA Tbk
DEAL,DEWATA FREIGHTINTERNATIONAL Tbk
DEFI,DANASUPRA ERAPACIFIC Tbk
DEPO,CATURKARDA DEPO BANGUNAN Tbk
DEWA,DARMA HENWA Tbk
DEWI,DEWI SHRI FARMINDO Tbk
DFAM,DAFAM PROPERTY INDONESIA Tbk
DGIK,NUSA KONSTRUKSI ENJINIRING Tbk
DGNS,DIAGNOS LABORATORIUM UTAMA Tbk
DGWG,DELTA GIRI WACANA Tbk
DIGI,ARKADIA DIGITAL MEDIA Tbk
DILD,INTILAND DEVELOPMENT Tbk
DIVA,DISTRIBUSI VOUCHER NUSANTARA Tbk
DKFT,CENTRAL OMEGA RESOURCES Tbk
DKHH,CIPTA SARANA MEDIKA Tbk
DLTA,DELTA DJAKARTA Tbk
DMAS,PURADELTA LESTARI Tbk
DMMX,DIGITAL MEDIATAMA MAXIMA Tbk
DMND,DIAMOND FOOD INDONESIA Tbk
DNAR,BANK OKE INDONESIA Tbk
DNET,INDORITEL MAKMUR INTERNASIONAL Tbk
DOID,BUMA INTERNASIONAL GRUP Tbk
DOOH,ERA MEDIA SEJAHTERA Tbk
DOSS,GLOBAL SUKSES DIGITAL Tbk
DPNS,DUTA PERTIWI NUSANTARA
DPUM,DUA PUTRA UTAMA MAKMUR Tbk
DRMA,DHARMA POLIMETAL Tbk
DSFI,DHARMA SAMUDERA FISHING INDUSTRIES Tbk
DSNG,DHARMA SATYA NUSANTARA Tbk
DSSA,DIAN SWASTATIKA SENTOSA Tbk
DUCK,JAYA BERSAMA INDO Tbk
DUTI,DUTA PERTIWI Tbk
DVLA,DARYA - VARIA LABORATORIA Tbk
DWGL,DWI GUNA LAKSANA Tbk
DYAN,DYANDRA MEDIA INTERNATIONAL Tbk
EAST,EASTPARC HOTEL Tbk
ECII,ELECTRONIC CITY INDONESIA Tbk
EDGE,INDOINTERNET Tbk
EKAD,EKADHARMA INTERNATIONAL Tbk
ELIT,DATA SINERGITAMA JAYA Tbk
ELPI,PELAYARAN NASIONAL EKALYA PURNAMASARI Tbk
ELSA,ELNUSA Tbk
ELTY,BAKRIELAND DEVELOPMENT Tbk
EMAS,MERDEKA GOLD RESOURCES Tbk
EMDE,MEGAPOLITAN DEVELOPMENTS Tbk
EMTK,ELANG MAHKOTA TEKNOLOGI Tbk
ENAK,CHAMP RESTO INDONESIA Tbk
ENRG,ENERGI MEGA PERSADA Tbk
ENVY,ENVY TECHNOLOGIES INDONESIA Tbk
ENZO,MORENZO ABADI PERKASA Tbk
EPAC,MEGALESTARI EPACK SENTOSARAYA Tbk
EPMT,ENSEVAL PUTERA MEGATRADING Tbk
ERAA,ERAJAYA SWASEMBADA Tbk
ERAL,SINAR EKA SELARAS Tbk
ERTX,ERATEX DJAJA Tbk
ESIP,SINERGI INTI PLASTINDO Tbk
ESSA,ESSA INDUSTRIES INDONESIA Tbk
ESTA,ESTA MULTI USAHA Tbk
ESTI,EVER SHINE TEXTILE INDUSTRY
ETWA,ETERINDO WAHANATAMA Tbk
EURO,ESTEE GOLD FEET Tbk
EXCL,XLSMART TELECOM SEJAHTERA Tbk
FAPA,FAP AGRI Tbk
FAST,FAST FOOD INDONESIA Tbk
FASW,FAJAR SURYA WISESA Tbk
FILM,MD ENTERTAINMENT Tbk
FIMP,FIMPERKASA UTAMA Tbk
FIRE,ALFA ENERGI INVESTAMA Tbk
FISH,FKS MULTI AGRO Tbk
FITT,HOTEL FITRA INTERNATIONAL Tbk
FLMC,FALMACO NONWOVEN INDUSTRI Tbk
FMII,FORTUNE MATE INDONESIA Tbk
FOLK,MULTI GARAM UTAMA Tbk
FOOD,SENTRA FOOD INDONESIA Tbk
FORE,FORE KOPI INDONESIA Tbk
FORU,FORTUNE INDONESIA Tbk
FPNI,LOTTE CHEMICAL TITAN Tbk
FUJI,FUJI FINANCE INDONESIA Tbk
FUTR,FUTURA ENERGI GLOBAL Tbk
FWCT,WIJAYA CAHAYA TIMBER Tbk
GAMA,AKSARA GLOBAL DEVELOPMENT Tbk
GDST,GUNAWAN DIANJAYA STEEL Tbk
GDYR,GOODYEAR INDONESIA Tbk
GEMA,GEMA GRAHASARANA Tbk
GEMS,GOLDEN ENERGY MINES Tbk
GGRM,GUDANG GARAM Tbk
GGRP,GUNUNG RAJA PAKSI Tbk
GHON,GIHON TELEKOMUNIKASI INDONESIA Tbk
GIAA,GARUDA INDONESIA (PERSERO) Tbk
GJTL,GAJAH TUNGGAL Tbk
GLOB,GLOBE KITA TERANG Tbk
GLVA,GALVA TECHNOLOGIES Tbk
GMFI,GARUDA MAINTENANCE FACILITY AERO ASIA Tbk
GMTD,GOWA MAKASSAR TOURISM DEVELOPMENT Tbk
GOLD,"VISI TELEKOMUNIKASI INFRASTRUKTUR Tbk, PT"
GOLF,INTRA GOLFLINK RESORTS Tbk
GOLL,GOLDEN PLANTATION Tbk
GOOD,GARUDAFOOD PUTRA PUTRI JAYA Tbk
GOTO,MVS GOTO GOJEK TOKOPEDIA Tbk
GOTO,GOTO GOJEK TOKOPEDIA Tbk
GPRA,PERDANA GAPURAPRIMA Tbk
GPSO,GEOPRIMA SOLUSI Tbk
GRIA,INGRIA PRATAMA CAPITALINDO Tbk
GRPH,GRIPTHA PUTRA PERSADA Tbk
GRPM,GRAHA PRIMA MENTARI Tbk
GSMF,EQUITY DEVELOPMENT INVESTMENT Tbk
GTBO,GARDA TUJUH BUANA Tbk
GTRA,GRAHAPRIMA SUKSESMANDIRI Tbk
GTSI,GTS INTERNASIONAL Tbk
GULA,AMAN AGRINDO Tbk
GUNA,GUNANUSA ERAMANDIRI Tbk
GWSA,GREENWOOD SEJAHTERA Tbk
GZCO,GOZCO PLANTATIONS Tbk
HADE,HIMALAYA ENERGI PERKASA Tbk
HAIS,HASNUR INTERNASIONAL SHIPPING Tbk
HAJJ,ARSY BUANA TRAVELINDO Tbk
HALO,HALONI JANE Tbk
HATM,HABCO TRANS MARITIMA Tbk
HBAT,MINAHASA MEMBANGUN HEBAT Tbk
HDFA,RADANA BHASKARA FINANCE Tbk
HDIT,HENSEL DAVEST INDONESIA Tbk
HEAL,MEDIKALOKA HERMINA Tbk
HELI,JAYA TRISHINDO Tbk
HERO,DFI RETAIL NUSANTARA Tbk
HEXA,HEXINDO ADIPERKASA Tbk
HGII,HERO GLOBAL INVESTMENT Tbk
HILL,HILLCON Tbk
HITS,HUMPUSS INTERMODA TRANSPORTASI Tbk
HKMU,HK METALS UTAMA Tbk
HMSP,HANJAYA MANDALA SAMPOERNA Tbk
HOKI,BUYUNG POETRA SEMBADA Tbk
HOME,HOTEL MANDARINE REGENCY Tbk
HOMI,GRAND HOUSE MULIA Tbk
HOPE,HARAPAN DUTA PERTIWI Tbk
HOTL,SARASWATI GRIYA LESTARI Tbk
HRME,MENTENG HERITAGE REALTY Tbk
HRTA,HARTADINATA ABADI Tbk
HRUM,HARUM ENERGY Tbk
HUMI,HUMPUSS MARITIM INTERNASIONAL Tbk
HYGN,ECOCARE INDO PASIFIK Tbk
IATA,MNC ENERGY INVESTMENTS Tbk
IBFN,INTAN BARU PRANA Tbk
IBOS,INDO BOGA SUKSES Tbk
IBST,INTI BANGUN SEJAHTERA Tbk
ICBP,INDOFOOD CBP SUKSES MAKMUR Tbk
ICON,ISLAND CONCEPTS INDONESIA Tbk
IDEA,IDEA INDONESIA AKADEMI Tbk
IDPR,INDONESIA PONDASI RAYA Tbk
IFII,INDONESIA FIBREBOARD INDUSTRY Tbk
IFSH,IFISHDECO Tbk
IGAR,CHAMPION PACIFIC INDONESIA Tbk
IIKP,INTI AGRI RESOURCES Tbk
IKAI,INTIKERAMIK ALAMASRI INDUSTRI Tbk
IKAN,ERA MANDIRI CEMERLANG Tbk
IKBI,SUMI INDO KABEL Tbk
IKPM,IKAPHARMINDO PUTRAMAS Tbk
IMAS,INDOMOBIL SUKSES INTERNASIONAL Tbk
IMJS,INDOMOBIL MULTI JASA Tbk
IMPC,IMPACK PRATAMA INDUSTRI Tbk
INAF,INDOFARMA Tbk
INAI,INDAL ALUMINIUM INDUSTRY Tbk
INCF,INDO KOMODITI KORPORA Tbk
INCI,INTANWIJAYA INTERNASIONAL Tbk
INCO,VALE INDONESIA Tbk
INDF,INDOFOOD SUKSES MAKMUR Tbk
INDO,ROYALINDO INVESTA WIJAYA Tbk
INDR,INDO-RAMA SYNTHETICS Tbk
INDS,INDOSPRING Tbk
INDX,TANAH LAUT Tbk
INDY,INDIKA ENERGY Tbk
INET,SINERGI INTI ANDALAN PRIMA Tbk
INKP,INDAH KIAT PULP AND PAPER Tbk
INOV,INOCYCLE TECHNOLOGY GROUP Tbk
INPC,BANK ARTHA GRAHA INTERNASIONAL Tbk
INPP,INDONESIAN PARADISE PROPERTY Tbk
INPS,INDAH PRAKASA SENTOSA Tbk
INRU,TOBA PULP LESTARI Tbk
INTA,INTRACO PENTA Tbk
INTD,INTER DELTA Tbk
INTP,INDOCEMENT TUNGGAL PRAKARSA Tbk
IOTF,SUMBER SINERGI MAKMUR Tbk
IPAC,ERA GRAHAREALTY Tbk
IPCC,INDONESIA KENDARAAN TERMINAL Tbk
IPCM,JASA ARMADA INDONESIA Tbk
IPOL,INDOPOLY SWAKARSA INDUSTRY Tbk
IPPE,INDO PURECO PRATAMA Tbk
IPTV,MNC VISION NETWORKS Tbk
IRRA,ITAMA RANORAYA Tbk
IRSX,FOLAGO GLOBAL NUSANTARA Tbk
ISAP,ISRA PRESISI INDONESIA Tbk
ISAT,INDOSAT Tbk
ISEA,INDO AMERICAN SEAFOODS Tbk
ISSP,STEEL PIPE INDUSTRY OF INDONESIA Tbk
ITIC,INDONESIAN TOBACCO Tbk
ITMA,SUMBER ENERGI ANDALAN Tbk
ITMG,INDO TAMBANGRAYA MEGAH Tbk
JARR,JHONLIN AGRO RAYA Tbk
JAST,JASNITA TELEKOMINDO Tbk
JATI,INFORMASI TEKNOLOGI INDONESIA Tbk
JAWA,JAYA AGRA WATTIE Tbk
JAYA,ARMADA BERJAYA TRANS Tbk
JECC,JEMBO CABLE COMPANY Tbk
JGLE,GRAHA ANDRASENTRA PROPERTINDO Tbk
JIHD,JAKARTA INTERNATIONAL HOTELS & DEVELOPMENT Tbk
JKON,JAYA KONSTRUKSI MANGGALA PRATAMA Tbk
JMAS,ASURANSI JIWA SYARIAH JASA MITRA ABADI Tbk
JPFA,JAPFA COMFEED INDONESIA Tbk
JRPT,JAYA REAL PROPERTY Tbk
JSKY,SKY ENERGY INDONESIA Tbk
JSMR,JASA MARGA (PERSERO) Tbk
JSPT,JAKARTA SETIABUDI INTERNASIONAL Tbk
JTPE,JASUINDO TIGA PERKASA Tbk
KAEF,KIMIA FARMA Tbk
KAQI,JANTRA GRUPO INDONESIA Tbk
KARW,MERATUS JASA PRIMA Tbk
KAYU,DARMI BERSAUDARA Tbk
KBAG,KARYA BERSAMA ANUGERAH Tbk
KBLI,KMI Wire and Cable Tbk
KBLM,KABELINDO MURNI Tbk
KBLV,FIRST MEDIA Tbk
KBRI,KERTAS BASUKI RACHMAT INDONESIA Tbk
KDSI,KEDAWUNG SETIA INDUSTRIAL Tbk
KDTN,PURI SENTUL PERMAI Tbk
